wallet,segment,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX (Any),CyberKongz Genkai (Any)
0xc8f8e2f59dd95ff67c3d39109eca2e2a017d4c8a,genesis,1,0,0,0
0xcca4446b31a94d7708729a13bea16e73d47e1eed,genesis,1,0,0,0
0xcce5a951324d22d9be21a6d59effa34f86885332,genesis,1,0,0,0
0xcd4e7af589b0ec71dd660129b6ddd4418be496a2,genesis,2,0,0,0
0xd41cc20847b1a62060648a8030f4ff614fda3bda,genesis,1,0,0,0
0xd6c701b895d2b93f34f1e365c30314590c02b2b3,genesis,1,0,0,0
0xdacdfff293e21fd548d1d606e1d81e61c66cee73,genesis,1,0,0,0
0xde02798db0845d8c41324506f16c4200766e8b4b,genesis,1,0,0,0
0xe1d29d0a39962a9a8d2a297ebe82e166f8b8ec18,genesis,1,0,0,0
0xe72bd07e0caa735bacc8d9794198969d726016b3,genesis,2,0,0,0
0xe8f7c65a6e6f9bf2a4df751dfa54b2563f44b409,genesis,17,0,0,0
0xe9f531207be3f1245541834551db788b9ef3fc60,genesis,1,0,0,0
0xee26b7a2362695765908c27d266b8f8eba26962d,genesis,2,0,0,0
0xee78bfd346988514372e11b8fb924b5ee251c2a3,genesis,1,0,0,0
0xee903f65cffb0834994871df856591dbc21b5883,genesis,1,0,0,0
0xefc03b3c9d8f7f87b90125a58f14edb0989ccdd1,genesis,1,0,0,0
0xf65b99ce6dc5f6c556172bcc0ff27d3665a7d9a8,genesis,3,0,0,0
0xf6cb3018ab69d22e6dd4cdbec60eb95fcb1dfd82,genesis,1,0,0,0
0xf8d9a2c5912f8277afa9e3cd8a8d08bb4f5bee02,genesis,1,0,0,0
0xf8db1ee1be12b28aa12477fc66b296dccfa66609,genesis,2,0,0,0
0xfbe0e2a547ac3935673c54bc59e92382bba8208c,genesis,1,0,0,0
0x000000000ef10efa945b1255617ab43e0c32a24d,babies,0,61,0,0
0x0044a9425bd6a7c438ae7732d241cf159f9cb4b9,babies,0,1,0,0
0x004cad75155af30b36b33358047604b8a9227f6c,babies,0,1,0,0
0x00539280c250c21dc99a22b4b3ffc109115ad88f,babies,0,1,0,0
0x0066b808deeb475ddac56cfe3ef148d003b60bba,babies,0,1,0,0
0x007dfe9ed83f6f903ed76fa2988867631374c12d,babies,0,1,0,0
0x007f73f4feb190e7e61397c96d2859c836b2305e,babies,0,1,0,0
0x00e7678a7bafe12b7e4b0963a68aede12faaa7df,babies,0,1,0,0
0x01868c6889fcfd8501a38ecb1a50b2e302b6ed29,babies,0,1,0,0
0x025042d3852c4cd8b369bbf30aaf53f08de655a8,babies,0,1,0,0
0x02b867af65e9779979141ece1d0b3e2fc1a932a3,babies,0,1,0,0
0x02e981c24094faad1793a800eee1f5e5e76f5136,babies,0,1,0,0
0x03651aeb28577c4d7886405ca3f8169df44c17d4,babies,0,2,0,0
0x04d4598bfa6b4f08ed7e69a1937ac0023aced26e,babies,0,3,0,0
0x050c1c3d2e802dd6208acee28806cc65f35f9327,babies,0,1,0,0
0x055931fe58ae63f2cfcfd8055de0cb45983ed470,babies,0,1,0,0
0x05cd412a1206a80c68419cd45e835609e81c9d22,babies,0,1,0,0
0x061b8335e1d2042975c4ed849943334bd07fb504,babies,0,1,0,0
0x062e1b6443f085c3cf6270e6b5e9b3e1c5710096,babies,0,1,0,0
0x066de4fe6306c3b1fee7654d869e5393953df4b5,babies,0,2,0,0
0x06bda28316d3681cc513d3fb6820b6837e838be2,babies,0,1,0,0
0x075867c4665f2ce251a166b099b3ddc308c22c83,babies,0,1,0,0
0x07a51da3825a6bb695557fca9f68a5e278b292ea,babies,0,2,0,0
0x0850846bf150a2a6367eee8cd017e58f2efaef04,babies,0,1,0,0
0x08d908b0e58d0fe5493b5f7670802552eb9959e9,babies,0,9,0,0
0x08f3f21a7c85011b0f52a5fd45595c9a78825a8b,babies,0,1,0,0
0x095551fe5237ce1f0be8016da0af07ddeefccfe5,babies,0,1,0,0
