wallet,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX,CyberKongz Genkai,CyberKongz VX (Ronin),CyberKongz Genkai (Ronin),CyberKongz VX (Any),CyberKongz Genkai (Any)
0x02228f25f26a56fdacb41de13e6014e316b20ac0,0,0,1,0,0,0,1,0
0x02235fe5e5f3591435781a9b39b4b047310a02ef,0,0,0,6,0,0,0,6
0x022b4d3a13119efae3ed92149ba6a8bbe5663640,0,0,0,0,7,15,7,15
0x022cdc518a9168fb31630ec9fbd3cb9acb8772d1,0,0,0,0,0,1,0,1
0x0236cb2dc5e393e4d4080b699b0e7f34a20a329d,0,0,0,1,0,0,0,1
0x0237667063fb6fc44c8c5a65599f7ddf22a51577,0,0,1,0,0,0,1,0
0x023e33c1f52b0d4900736dc968f897e571662a85,0,1,1,1,0,0,1,1
0x02481c13e49bf5f59b129589d4e874eacb9fe1ea,0,0,1,0,0,0,1,0
0x024a88896b6a85bdacb2de0f23e7fdfca7091f5c,2,5,10,12,0,0,10,12
0x025042d3852c4cd8b369bbf30aaf53f08de655a8,0,1,0,0,0,0,0,0
0x02565ccb5b48641808063bca489a3312c85d6ce9,0,0,0,0,0,6,0,6
0x025dd4e0334c6e65a9d05d69771123a82a3e6a89,0,0,1,0,0,0,1,0
0x0261b9c7b4dc36dd3492b17aeede92b5d1c83503,0,0,0,0,0,2,0,2
0x0263ccc29a96a9a2b9ea57f0d696c2797ff0bd9a,0,0,0,1,0,0,0,1
0x026e3cfa2825282f78e621fbfaf778f7f62c0fb6,0,0,1,6,0,0,1,6
0x027747771ce20e60d24344e2a62a1377960cced0,0,0,0,1,0,0,0,1
0x027a24e16d82d60742aefe7db59e25c1967080bc,0,0,0,3,0,0,0,3
0x027c3c7dae91b2613eab246a9b3564d705160c2e,0,0,0,0,0,1,0,1
0x027cae2ed1a23350a751452e907b4120330f9762,0,0,1,0,0,0,1,0
0x028137184d55d4f8b615b96aa5abd60fa4eb221a,0,1,0,1,0,0,0,1
0x02836137a7dd87461f02d3eb39a74990f589f59c,0,0,0,0,0,1,0,1
0x02859d1d3fe965b41de7e98406a8dbd2d724f469,0,0,0,0,0,1,0,1
0x028d581d5c68e443d8dac7ed4a8383adc10d148e,0,0,1,0,0,0,1,0
0x028fe2ff94af8f9e7a0ef0cadc719c155a530ccb,0,1,0,1,0,2,0,3
0x02954549a3e81884f020607d6a7d30eea96008ba,0,1,0,1,0,0,0,1
0x0296afeefac62dd8e2e33f9493bfbcd16e65966b,1,1,0,3,0,0,0,3
0x029a198a3e5fc1f3ae526f9dea6a3b90a4da6bd5,0,0,0,0,0,1,0,1
0x029c269c70ff0ce23b6bb7426926d607223c4cb6,0,0,0,0,0,1,0,1
0x02b03cd631601ffcfc58652911fd2bd957cde7f6,0,5,0,6,0,0,0,6
0x02b06c34bd9137a36f40f39a71610c636ff4beb3,0,0,0,0,1,1,1,1
0x02b100e9c1ce9045a6f37339e745a837bc6125d9,0,0,1,0,0,0,1,0
0x02b867af65e9779979141ece1d0b3e2fc1a932a3,0,1,0,0,0,0,0,0
0x02bca9c4d25f32a867efb1aff8b50b64c724f197,0,0,1,0,0,0,1,0
0x02cfdaff6bc6e896f364f93a50559e3fd0a6ff1d,0,0,1,0,0,0,1,0
0x02e030f6975cc1cbda531b11ae4fd7ec698600c7,0,0,0,1,0,0,0,1
0x02e981c24094faad1793a800eee1f5e5e76f5136,0,1,0,0,0,0,0,0
0x02eac86666a41cc53fd1b5775089f5f66ac753a0,0,0,0,0,1,1,1,1
0x02ee056393655a5e91f81b46697c31de9b4d8ad4,1,1,1,0,0,0,1,0
